NAME,YEAR,YEAR_TOTAL,MONTH,MONTH_NUMBER,VISITORS,Problem_With_Counter
McKinley Park,2019,99246,AUG,8,8844,False
McKinley Park,2019,99246,SEP,9,7834,False
McKinley Park,2019,99246,OCT,10,8637,False
McKinley Park,2019,99246,NOV,11,7739,False
McKinley Park,2019,99246,DEC,12,6630,False
Merlo,2019,19633,JAN,1,8108,False
Merlo,2019,19633,FEB,2,11525,False
Merlo,2019,19633,MAR,3,0,False
Merlo,2019,19633,APR,4,0,False
Merlo,2019,19633,MAY,5,0,False
Merlo,2019,19633,JUN,6,0,False
Merlo,2019,19633,JUL,7,0,False
Merlo,2019,19633,AUG,8,0,False
Merlo,2019,19633,SEP,9,0,False
Merlo,2019,19633,OCT,10,0,False
Merlo,2019,19633,NOV,11,0,False
Merlo,2019,19633,DEC,12,0,False
Mount Greenwood,2019,51275,JAN,1,4670,False
Mount Greenwood,2019,51275,FEB,2,4966,False
Mount Greenwood,2019,51275,MAR,3,4987,False
Mount Greenwood,2019,51275,APR,4,5070,False
Mount Greenwood,2019,51275,MAY,5,5094,False
Mount Greenwood,2019,51275,JUN,6,5670,False
Mount Greenwood,2019,51275,JUL,7,6647,False
Mount Greenwood,2019,51275,AUG,8,3999,False
Mount Greenwood,2019,51275,SEP,9,2293,False
Mount Greenwood,2019,51275,OCT,10,3048,False
Mount Greenwood,2019,51275,NOV,11,2614,False
Mount Greenwood,2019,51275,DEC,12,2217,False
Near North,2019,130156,JAN,1,10281,False
Near North,2019,130156,FEB,2,11897,False
Near North,2019,130156,MAR,3,11311,False
Near North,2019,130156,APR,4,10963,False
Near North,2019,130156,MAY,5,10209,False
Near North,2019,130156,JUN,6,11213,False
Near North,2019,130156,JUL,7,12401,False
Near North,2019,130156,AUG,8,11582,False
Near North,2019,130156,SEP,9,10023,False
Near North,2019,130156,OCT,10,11624,False
Near North,2019,130156,NOV,11,9205,False
Near North,2019,130156,DEC,12,9447,False
North Austin,2019,41957,JAN,1,3163,False
North Austin,2019,41957,FEB,2,2591,False
North Austin,2019,41957,MAR,3,2364,False
North Austin,2019,41957,APR,4,3658,False
North Austin,2019,41957,MAY,5,3457,False
North Austin,2019,41957,JUN,6,3369,False
North Austin,2019,41957,JUL,7,4244,False
North Austin,2019,41957,AUG,8,4556,False
North Austin,2019,41957,SEP,9,3488,False
North Austin,2019,41957,OCT,10,4209,False
North Austin,2019,41957,NOV,11,3419,False
North Austin,2019,41957,DEC,12,3439,False
North Pulaski,2019,47718,JAN,1,3324,False
North Pulaski,2019,47718,FEB,2,4141,False
North Pulaski,2019,47718,MAR,3,5013,False
North Pulaski,2019,47718,APR,4,3923,False
North Pulaski,2019,47718,MAY,5,3875,False
North Pulaski,2019,47718,JUN,6,3948,False
North Pulaski,2019,47718,JUL,7,4404,False
North Pulaski,2019,47718,AUG,8,5103,False
North Pulaski,2019,47718,SEP,9,3372,False
North Pulaski,2019,47718,OCT,10,4093,False
North Pulaski,2019,47718,NOV,11,3590,False
North Pulaski,2019,47718,DEC,12,2932,False
Northtown,2019,104233,JAN,1,0,False
Northtown,2019,104233,FEB,2,0,False
Northtown,2019,104233,MAR,3,8377,False
Northtown,2019,104233,APR,4,10287,False
Northtown,2019,104233,MAY,5,10443,False
Northtown,2019,104233,JUN,6,10928,False
Northtown,2019,104233,JUL,7,13805,False
Northtown,2019,104233,AUG,8,13024,False
Northtown,2019,104233,SEP,9,10819,False
Northtown,2019,104233,OCT,10,12803,False
Northtown,2019,104233,NOV,11,10329,False
Northtown,2019,104233,DEC,12,3418,False
Oriole Park,2019,81829,JAN,1,6053,False
Oriole Park,2019,81829,FEB,2,7235,False
Oriole Park,2019,81829,MAR,3,7352,False
Oriole Park,2019,81829,APR,4,6842,False
Oriole Park,2019,81829,MAY,5,6241,False
Oriole Park,2019,81829,JUN,6,6540,False
Oriole Park,2019,81829,JUL,7,7478,False
Oriole Park,2019,81829,AUG,8,6484,False
Oriole Park,2019,81829,SEP,9,7282,False
Oriole Park,2019,81829,OCT,10,7216,False
Oriole Park,2019,81829,NOV,11,6509,False
Oriole Park,2019,81829,DEC,12,6597,False
Portage-Cragin,2019,54801,JAN,1,5687,False
Portage-Cragin,2019,54801,FEB,2,7332,False
Portage-Cragin,2019,54801,MAR,3,7091,False
Portage-Cragin,2019,54801,APR,4,3696,False
Portage-Cragin,2019,54801,MAY,5,0,False
Portage-Cragin,2019,54801,JUN,6,722,False
Portage-Cragin,2019,54801,JUL,7,6029,False
Portage-Cragin,2019,54801,AUG,8,5739,False
Portage-Cragin,2019,54801,SEP,9,4948,False
Portage-Cragin,2019,54801,OCT,10,3960,False
Portage-Cragin,2019,54801,NOV,11,5244,False
Portage-Cragin,2019,54801,DEC,12,4353,False
Pullman,2019,49370,JAN,1,3919,False
Pullman,2019,49370,FEB,2,3820,False
Pullman,2019,49370,MAR,3,4214,False
Pullman,2019,49370,APR,4,4370,False
Pullman,2019,49370,MAY,5,3626,False
Pullman,2019,49370,JUN,6,3985,False
Pullman,2019,49370,JUL,7,4783,False
Pullman,2019,49370,AUG,8,4638,False
Pullman,2019,49370,SEP,9,4086,False
Pullman,2019,49370,OCT,10,4430,False
Pullman,2019,49370,NOV,11,3803,False
Pullman,2019,49370,DEC,12,3696,False
Roden,2019,70882,JAN,1,4319,False
Roden,2019,70882,FEB,2,11837,False
Roden,2019,70882,MAR,3,10835,False
Roden,2019,70882,APR,4,6604,False
Roden,2019,70882,MAY,5,4550,False
Roden,2019,70882,JUN,6,5163,False
Roden,2019,70882,JUL,7,5669,False
Roden,2019,70882,AUG,8,5857,False
Roden,2019,70882,SEP,9,4441,False
Roden,2019,70882,OCT,10,5405,False
Roden,2019,70882,NOV,11,4277,False
Roden,2019,70882,DEC,12,1925,False
Rogers Park,2019,152062,JAN,1,14708,False
Rogers Park,2019,152062,FEB,2,12762,False
Rogers Park,2019,152062,MAR,3,11756,False
Rogers Park,2019,152062,APR,4,12728,False
Rogers Park,2019,152062,MAY,5,12520,False
Rogers Park,2019,152062,JUN,6,12630,False
Rogers Park,2019,152062,JUL,7,14204,False
Rogers Park,2019,152062,AUG,8,14437,False
Rogers Park,2019,152062,SEP,9,11482,False
Rogers Park,2019,152062,OCT,10,13277,False
Rogers Park,2019,152062,NOV,11,11192,False
Rogers Park,2019,152062,DEC,12,10366,False
Scottsdale,2019,44514,JAN,1,3407,False
Scottsdale,2019,44514,FEB,2,3639,False
Scottsdale,2019,44514,MAR,3,3388,False
Scottsdale,2019,44514,APR,4,4375,False
Scottsdale,2019,44514,MAY,5,3744,False
Scottsdale,2019,44514,JUN,6,3481,False
Scottsdale,2019,44514,JUL,7,4237,False
Scottsdale,2019,44514,AUG,8,3922,False
Scottsdale,2019,44514,SEP,9,3503,False
Scottsdale,2019,44514,OCT,10,4085,False
Scottsdale,2019,44514,NOV,11,3692,False
Scottsdale,2019,44514,DEC,12,3041,False
Sherman Park,2019,42228,JAN,1,3089,False
Sherman Park,2019,42228,FEB,2,3028,False
Sherman Park,2019,42228,MAR,3,3313,False
Sherman Park,2019,42228,APR,4,3416,False
Sherman Park,2019,42228,MAY,5,3445,False
Sherman Park,2019,42228,JUN,6,3356,False
Sherman Park,2019,42228,JUL,7,4989,False
Sherman Park,2019,42228,AUG,8,4646,False
Sherman Park,2019,42228,SEP,9,3469,False
Sherman Park,2019,42228,OCT,10,4224,False
Sherman Park,2019,42228,NOV,11,3209,False
Sherman Park,2019,42228,DEC,12,2044,False
South Chicago,2019,83093,JAN,1,6062,False
South Chicago,2019,83093,FEB,2,6279,False
South Chicago,2019,83093,MAR,3,7879,False
South Chicago,2019,83093,APR,4,6299,False
South Chicago,2019,83093,MAY,5,6810,False
South Chicago,2019,83093,JUN,6,6856,False
South Chicago,2019,83093,JUL,7,6928,False
South Chicago,2019,83093,AUG,8,7793,False
South Chicago,2019,83093,SEP,9,7794,False
South Chicago,2019,83093,OCT,10,7790,False
South Chicago,2019,83093,NOV,11,6574,False
South Chicago,2019,83093,DEC,12,6029,False
South Shore,2019,10690,JAN,1,5613,False
South Shore,2019,10690,FEB,2,5077,False
South Shore,2019,10690,MAR,3,0,False
South Shore,2019,10690,APR,4,0,False
South Shore,2019,10690,MAY,5,0,False
South Shore,2019,10690,JUN,6,0,False
South Shore,2019,10690,JUL,7,0,False
South Shore,2019,10690,AUG,8,0,False
South Shore,2019,10690,SEP,9,0,False
South Shore,2019,10690,OCT,10,0,False
South Shore,2019,10690,NOV,11,0,False
South Shore,2019,10690,DEC,12,0,False
Sulzer Regional Library,2019,358644,JAN,1,24368,False
Sulzer Regional Library,2019,358644,FEB,2,23998,False
Sulzer Regional Library,2019,358644,MAR,3,32223,False
Sulzer Regional Library,2019,358644,APR,4,30983,False
Sulzer Regional Library,2019,358644,MAY,5,37357,False
Sulzer Regional Library,2019,358644,JUN,6,29641,False
Sulzer Regional Library,2019,358644,JUL,7,33583,False
Sulzer Regional Library,2019,358644,AUG,8,32266,False
Sulzer Regional Library,2019,358644,SEP,9,29043,False
Sulzer Regional Library,2019,358644,OCT,10,29043,False
Sulzer Regional Library,2019,358644,NOV,11,30883,False
Sulzer Regional Library,2019,358644,DEC,12,25256,False
Thurgood Marshall,2019,78209,JAN,1,5148,False
Thurgood Marshall,2019,78209,FEB,2,5317,False
Thurgood Marshall,2019,78209,MAR,3,7870,False
Thurgood Marshall,2019,78209,APR,4,3967,False
Thurgood Marshall,2019,78209,MAY,5,6344,False
Thurgood Marshall,2019,78209,JUN,6,6597,False
Thurgood Marshall,2019,78209,JUL,7,7460,False
Thurgood Marshall,2019,78209,AUG,8,7055,False
Thurgood Marshall,2019,78209,SEP,9,5982,False
Thurgood Marshall,2019,78209,OCT,10,10479,False
Thurgood Marshall,2019,78209,NOV,11,6336,False
Thurgood Marshall,2019,78209,DEC,12,5654,False
Toman,2019,88574,JAN,1,6426,False
Toman,2019,88574,FEB,2,6954,False
Toman,2019,88574,MAR,3,7849,False
Toman,2019,88574,APR,4,8025,False
Toman,2019,88574,MAY,5,6567,False
Toman,2019,88574,JUN,6,7071,False
Toman,2019,88574,JUL,7,10676,False
Toman,2019,88574,AUG,8,9234,False
Toman,2019,88574,SEP,9,7270,False
Toman,2019,88574,OCT,10,9047,False
Toman,2019,88574,NOV,11,5027,False
Toman,2019,88574,DEC,12,4428,False
Uptown,2019,126690,JAN,1,2827,False
Uptown,2019,126690,FEB,2,8495,False
Uptown,2019,126690,MAR,3,11025,False
Uptown,2019,126690,APR,4,11894,False
Uptown,2019,126690,MAY,5,12081,False
Uptown,2019,126690,JUN,6,11212,False
Uptown,2019,126690,JUL,7,12847,False
Uptown,2019,126690,AUG,8,12931,False
Uptown,2019,126690,SEP,9,11159,False
Uptown,2019,126690,OCT,10,12083,False
Uptown,2019,126690,NOV,11,10504,False
Uptown,2019,126690,DEC,12,9632,False
Vodak-East Side,2019,60487,JAN,1,4782,False
Vodak-East Side,2019,60487,FEB,2,5306,False
Vodak-East Side,2019,60487,MAR,3,5703,False
Vodak-East Side,2019,60487,APR,4,4964,False
Vodak-East Side,2019,60487,MAY,5,4831,False
Vodak-East Side,2019,60487,JUN,6,4973,False
Vodak-East Side,2019,60487,JUL,7,6037,False
Vodak-East Side,2019,60487,AUG,8,4992,False
Vodak-East Side,2019,60487,SEP,9,4643,False
Vodak-East Side,2019,60487,OCT,10,6519,False
Vodak-East Side,2019,60487,NOV,11,4837,False
Vodak-East Side,2019,60487,DEC,12,2900,False
Walker,2019,32753,JAN,1,2885,False
Walker,2019,32753,FEB,2,2896,False
Walker,2019,32753,MAR,3,3418,False
Walker,2019,32753,APR,4,3325,False
Walker,2019,32753,MAY,5,3725,False
Walker,2019,32753,JUN,6,4001,False
Walker,2019,32753,JUL,7,3941,False
Walker,2019,32753,AUG,8,3563,False
Walker,2019,32753,SEP,9,3268,False
Walker,2019,32753,OCT,10,1731,False
Walker,2019,32753,NOV,11,0,False
Walker,2019,32753,DEC,12,0,False
West Belmont,2019,62243,JAN,1,2099,False
West Belmont,2019,62243,FEB,2,6107,False
West Belmont,2019,62243,MAR,3,6601,False
West Belmont,2019,62243,APR,4,6253,False
West Belmont,2019,62243,MAY,5,5345,False
West Belmont,2019,62243,JUN,6,5968,False
West Belmont,2019,62243,JUL,7,6061,False
West Belmont,2019,62243,AUG,8,5570,False
West Belmont,2019,62243,SEP,9,4909,False
West Belmont,2019,62243,OCT,10,5503,False
West Belmont,2019,62243,NOV,11,4104,False
West Belmont,2019,62243,DEC,12,3723,False
West Chicago Avenue,2019,73704,JAN,1,5513,False
West Chicago Avenue,2019,73704,FEB,2,5723,False
West Chicago Avenue,2019,73704,MAR,3,6113,False
West Chicago Avenue,2019,73704,APR,4,5361,False
West Chicago Avenue,2019,73704,MAY,5,5921,False
West Chicago Avenue,2019,73704,JUN,6,1505,False
West Chicago Avenue,2019,73704,JUL,7,7290,False
West Chicago Avenue,2019,73704,AUG,8,7584,False
West Chicago Avenue,2019,73704,SEP,9,7329,False
West Chicago Avenue,2019,73704,OCT,10,8804,False
West Chicago Avenue,2019,73704,NOV,11,6452,False
West Chicago Avenue,2019,73704,DEC,12,6109,False
West Englewood,2019,69243,JAN,1,5708,False
West Englewood,2019,69243,FEB,2,5481,False
West Englewood,2019,69243,MAR,3,5904,False
West Englewood,2019,69243,APR,4,5717,False
West Englewood,2019,69243,MAY,5,5555,False
West Englewood,2019,69243,JUN,6,5780,False
West Englewood,2019,69243,JUL,7,6270,False
West Englewood,2019,69243,AUG,8,6818,False
West Englewood,2019,69243,SEP,9,5744,False
West Englewood,2019,69243,OCT,10,6739,False
West Englewood,2019,69243,NOV,11,4684,False
West Englewood,2019,69243,DEC,12,4843,False
West Lawn,2019,64959,JAN,1,4032,False
West Lawn,2019,64959,FEB,2,4603,False
West Lawn,2019,64959,MAR,3,4727,False
West Lawn,2019,64959,APR,4,5068,False
West Lawn,2019,64959,MAY,5,5002,False
West Lawn,2019,64959,JUN,6,5173,False
West Lawn,2019,64959,JUL,7,5857,False
West Lawn,2019,64959,AUG,8,7376,False
West Lawn,2019,64959,SEP,9,5870,False
West Lawn,2019,64959,OCT,10,6832,False
West Lawn,2019,64959,NOV,11,5152,False
West Lawn,2019,64959,DEC,12,5267,False
West Loop,2019,83969,JAN,1,3323,False
West Loop,2019,83969,FEB,2,7748,False
West Loop,2019,83969,MAR,3,7628,False
West Loop,2019,83969,APR,4,7529,False
West Loop,2019,83969,MAY,5,6881,False
West Loop,2019,83969,JUN,6,6892,False
West Loop,2019,83969,JUL,7,7895,False
West Loop,2019,83969,AUG,8,7753,False
West Loop,2019,83969,SEP,9,6520,False
West Loop,2019,83969,OCT,10,7804,False
West Loop,2019,83969,NOV,11,7554,False
West Loop,2019,83969,DEC,12,6442,False
West Pullman,2019,87708,JAN,1,7373,False
West Pullman,2019,87708,FEB,2,8225,False
West Pullman,2019,87708,MAR,3,8535,False
West Pullman,2019,87708,APR,4,9508,False
West Pullman,2019,87708,MAY,5,7508,False
West Pullman,2019,87708,JUN,6,6100,False
West Pullman,2019,87708,JUL,7,7248,False
West Pullman,2019,87708,AUG,8,7048,False
West Pullman,2019,87708,SEP,9,6296,False
West Pullman,2019,87708,OCT,10,6924,False
West Pullman,2019,87708,NOV,11,6154,False
West Pullman,2019,87708,DEC,12,6789,False
West Town,2019,102826,JAN,1,7861,False
West Town,2019,102826,FEB,2,7916,False
West Town,2019,102826,MAR,3,8861,False
West Town,2019,102826,APR,4,8380,False
West Town,2019,102826,MAY,5,7901,False
West Town,2019,102826,JUN,6,7270,False
West Town,2019,102826,JUL,7,11701,False
West Town,2019,102826,AUG,8,9935,False
West Town,2019,102826,SEP,9,8172,False
West Town,2019,102826,OCT,10,9223,False
West Town,2019,102826,NOV,11,8235,False
West Town,2019,102826,DEC,12,7371,False
"Whitney M. Young, Jr.",2019,82023,JAN,1,6599,False
"Whitney M. Young, Jr.",2019,82023,FEB,2,6897,False
"Whitney M. Young, Jr.",2019,82023,MAR,3,5449,False
"Whitney M. Young, Jr.",2019,82023,APR,4,6937,False
"Whitney M. Young, Jr.",2019,82023,MAY,5,6943,False
"Whitney M. Young, Jr.",2019,82023,JUN,6,6596,False
"Whitney M. Young, Jr.",2019,82023,JUL,7,7538,False
"Whitney M. Young, Jr.",2019,82023,AUG,8,6312,False
"Whitney M. Young, Jr.",2019,82023,SEP,9,7118,False
"Whitney M. Young, Jr.",2019,82023,OCT,10,7608,False
"Whitney M. Young, Jr.",2019,82023,NOV,11,6857,False
"Whitney M. Young, Jr.",2019,82023,DEC,12,7169,False
Woodson Regional Library,2019,214173,JAN,1,15153,False
Woodson Regional Library,2019,214173,FEB,2,21771,False
Woodson Regional Library,2019,214173,MAR,3,22059,False
Woodson Regional Library,2019,214173,APR,4,18687,False
Woodson Regional Library,2019,214173,MAY,5,16703,False
Woodson Regional Library,2019,214173,JUN,6,17239,False
Woodson Regional Library,2019,214173,JUL,7,18549,False
Woodson Regional Library,2019,214173,AUG,8,16946,False
Woodson Regional Library,2019,214173,SEP,9,17550,False
Woodson Regional Library,2019,214173,OCT,10,19223,False
Woodson Regional Library,2019,214173,NOV,11,15232,False
Woodson Regional Library,2019,214173,DEC,12,15061,False
Wrightwood-Ashburn,2019,47353,JAN,1,3740,False
Wrightwood-Ashburn,2019,47353,FEB,2,2742,False
Wrightwood-Ashburn,2019,47353,MAR,3,3248,False
Wrightwood-Ashburn,2019,47353,APR,4,3925,False
Wrightwood-Ashburn,2019,47353,MAY,5,3401,False
Wrightwood-Ashburn,2019,47353,JUN,6,4020,False
Wrightwood-Ashburn,2019,47353,JUL,7,4994,False
Wrightwood-Ashburn,2019,47353,AUG,8,4567,False
Wrightwood-Ashburn,2019,47353,SEP,9,4462,False
Wrightwood-Ashburn,2019,47353,OCT,10,4802,False
Wrightwood-Ashburn,2019,47353,NOV,11,3880,False
Wrightwood-Ashburn,2019,47353,DEC,12,3572,False
